id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
12439,5KS8,small_airport,"Jack Poore Airport",39.81809997558594,-101.3479995727539,3330,NA,"United States",US,Kansas,US-KS,KS,"Mc Donald",0,5KS8,,5KS8,,,,50,2008-06-13T14:30:04+00:00
12433,5KS1,small_airport,"Threshing Bee Airport",39.19380187988281,-95.21630096435547,1150,NA,"United States",US,Kansas,US-KS,KS,"Mc Louth",0,5KS1,,5KS1,,,,50,2008-06-13T14:30:04+00:00
24666,SN90,small_airport,"Eibes Airfield",39.226959,-95.192231,1100,NA,"United States",US,Kansas,US-KS,KS,"Mc Louth",0,SN90,,SN90,,,"D'Field Airport",50,2020-02-22T19:51:21+00:00
322581,00IG,small_airport,"Goltl Airport",39.724028,-101.395994,3359,NA,"United States",US,Kansas,US-KS,KS,McDonald,0,00IG,,00IG,,,,50,2017-04-02T11:42:13+00:00
24591,SN12,small_airport,"Jenkinson Airport",37.36389923095703,-100.47100067138672,2737,NA,"United States",US,Kansas,US-KS,KS,Meade,0,SN12,,SN12,,,,50,2008-06-13T14:30:04+00:00
15612,99KS,small_airport,"Elm Creek Farms Airport",37.410995,-98.649306,1600,NA,"United States",US,Kansas,US-KS,KS,"Medicine Lodge",0,99KS,,99KS,,,,50,2022-03-18T03:22:47+00:00
20254,KK51,small_airport,"Medicine Lodge Airport",37.266,-98.548052,1543,NA,"United States",US,Kansas,US-KS,KS,"Medicine Lodge",0,KK51,,K51,,,,50,2022-03-18T03:20:16+00:00
8043,17KS,closed,"Tevis Airport",38.5028,-95.6772,1000,NA,"United States",US,Kansas,US-KS,KS,Melvern,0,,,,,,"17KS, 17KS, 17KS",50,2021-07-25T14:00:26+00:00
14530,81KS,small_airport,"Blackhawk Airport",39.1562,-95.577499,1015,NA,"United States",US,Kansas,US-KS,KS,Meriden,0,81KS,,81KS,,,,50,2022-11-02T16:24:20+00:00
338921,US-2545,small_airport,"Lamb Ranch Airport",38.027312,-95.115327,1009,NA,"United States",US,Kansas,US-KS,KS,Mildred,0,59KS,,59KS,,,,50,2021-01-08T17:21:14+00:00
24669,SN93,small_airport,"Dickson /Private/ Airport",38.6458015442,-95.9891967773,1140,NA,"United States",US,Kansas,US-KS,KS,Miller,0,SN93,,SN93,,,,50,2009-12-07T18:33:37+00:00
18781,K45K,small_airport,"Minneapolis City County Airport",39.09469985961914,-97.72059631347656,1245,NA,"United States",US,Kansas,US-KS,KS,Minneapolis,0,K45K,,45K,,,,50,2008-06-13T14:30:04+00:00
24588,SN09,small_airport,"Solomon Valley Airpark",39.11389923095703,-97.68309783935547,1205,NA,"United States",US,Kansas,US-KS,KS,Minneapolis,0,SN09,,SN09,,,,50,2008-06-13T14:30:04+00:00
13851,75KS,small_airport,"Esplund Farm Airport",37.38669967651367,-99.86530303955078,2555,NA,"United States",US,Kansas,US-KS,KS,Minneola,0,75KS,,75KS,,,,50,2008-06-13T14:30:04+00:00
24670,SN94,small_airport,"Amy Airport",37.46670150756836,-100,2560,NA,"United States",US,Kansas,US-KS,KS,Minneola,0,SN94,,SN94,,,,50,2008-06-13T14:30:04+00:00
352260,US-6419,small_airport,"Kennedy Airport",37.412254,-100.092391,2749,NA,"United States",US,Kansas,US-KS,KS,Minneola,0,7KS7,,7KS7,,,,50,2022-02-02T18:23:24+00:00
506087,US-7502,small_airport,"Kraemer Airfield",37.398547,-100.037094,2551,NA,"United States",US,Kansas,US-KS,KS,Minneola,0,04KS,,04KS,,,,50,2023-01-14T22:32:52+00:00
9486,2K6,small_airport,"Elk County Airport",37.38059997558594,-96.27079772949219,1063,NA,"United States",US,Kansas,US-KS,KS,Moline,0,2K6,,2K6,,,,50,2008-06-13T14:30:04+00:00
13068,67KS,small_airport,"Montezuma Coop Airport",37.587501525878906,-100.43499755859375,2780,NA,"United States",US,Kansas,US-KS,KS,Montezuma,0,67KS,,67KS,,,,50,2008-06-13T14:30:04+00:00
