id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
23359,NV55,small_airport,"Pinenut Airport",38.89889907836914,-119.64900207519531,5260,NA,"United States",US,Nevada,US-NV,NV,Gardnerville,0,NV55,,NV55,,,,50,2008-06-13T14:30:04+00:00
23327,NV16,closed,"Lackerman Ranch Airport",40.999298,-119.936996,4706,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,NV16,50,2021-07-28T16:40:30+00:00
23350,NV41,small_airport,"Sulphur Airport",40.869108,-118.729189,4068,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,NV41,50,2021-05-13T13:05:35+00:00
344369,US-4079,small_airport,"Barrel Springs Airport",40.77972,-118.72339,,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,,50,2021-05-13T13:03:41+00:00
353172,US-6619,small_airport,"Smoke Creek Airport",40.58461,-119.9678,4355,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,,50,2022-03-01T12:31:52+00:00
504511,US-7247,small_airport,"Iveson Ranch Airport",40.94619,-119.37343,4252,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,,50,2022-10-27T12:43:06+00:00
504512,US-7248,small_airport,"Iveson Ranch West Airport",40.95245,-119.38581,4298,NA,"United States",US,Nevada,US-NV,NV,Gerlach,0,,,,,,,50,2022-10-27T12:46:33+00:00
506488,US-7539,small_airport,"Pinson Mine Airport",41.13462,-117.22781,4744,NA,"United States",US,Nevada,US-NV,NV,Golconda,0,,,,,,"Osgood Mining Company, Pinson Mining Company",50,2023-02-09T22:02:01+00:00
506489,US-7540,small_airport,"Upper Clover Ranch Airport",41.16999,-116.9155,4728,NA,"United States",US,Nevada,US-NV,NV,Golconda,0,,,,,,,50,2023-02-09T22:04:21+00:00
344375,US-4085,small_airport,"Seibeck Mine Airport",37.36002,-117.381901,,NA,"United States",US,Nevada,US-NV,NV,Goldfield,0,,,,,,"Seibeck Mine",50,2021-05-13T13:31:36+00:00
344376,US-4086,small_airport,"Gold Point Airport",37.36384,-117.36616,,NA,"United States",US,Nevada,US-NV,NV,Goldfield,0,,,,,,,50,2021-05-13T13:32:39+00:00
336670,US-1874,small_airport,"Nine Mile Ranch Airport",38.38186,-118.93902,,NA,"United States",US,Nevada,US-NV,NV,Hawthorne,0,,,,,,,50,2020-10-13T10:37:42+00:00
23336,NV26,closed,"Voc Tech Airport",36.079102,-115.069,1913,NA,"United States",US,Nevada,US-NV,NV,Henderson,0,,,,,,NV26,50,2017-06-11T21:09:36+00:00
353615,US-6725,small_airport,"Cherry Canyon Airport",38.1198,-115.52873,5792,NA,"United States",US,Nevada,US-NV,NV,Hiko,0,,,,,,,50,2022-03-18T16:12:51+00:00
353617,US-6727,small_airport,"Forest Moon Ranch Airport",38.374293,-115.170057,5233,NA,"United States",US,Nevada,US-NV,NV,Hiko,0,,,,,,"Hot Creek Butte",50,2022-03-18T16:21:03+00:00
348796,US-5514,small_airport,"Dog Bone Lake Airfield",36.8462,-115.44853,3412,NA,"United States",US,Nevada,US-NV,NV,"Indian Springs",0,,,,,,,50,2021-10-14T17:43:10+00:00
344372,US-4082,small_airport,"Deer Creek Grade Airport",41.959158,-115.426567,,NA,"United States",US,Nevada,US-NV,NV,Jarbidge,0,,,,,,,50,2021-05-13T13:36:39+00:00
23328,NV17,small_airport,"Youngberg Ranch Airport",39.67319869995117,-119.81300354003906,4960,NA,"United States",US,Nevada,US-NV,NV,"Lemmon Valley",0,NV17,,NV17,,,,50,2008-06-13T14:30:04+00:00
